ds,call_center,target
2019-04-23,Call center 1,5024.0
2019-04-23,Call center 2,26647.0
2019-04-24,Call center 1,3865.0
2019-04-24,Call center 2,20539.0
2019-04-25,Call center 1,99.0
2019-04-25,Call center 2,21356.0
2019-04-26,Call center 1,1258.0
2019-04-26,Call center 2,20130.0
2019-04-27,Call center 1,11730.0
2019-04-27,Call center 2,42.0
2019-04-28,Call center 3,0.0
2019-04-28,Call center 1,17.0
2019-04-29,Call center 2,25204.0
2019-04-29,Call center 1,2696.0
2019-04-30,Call center 1,2097.0
2019-04-30,Call center 2,19610.0
2019-05-01,Call center 1,33.0
2019-05-01,Call center 2,22.0
2019-05-02,Call center 3,2.0
2019-05-02,Call center 1,7955.0
2019-05-02,Call center 2,21632.0
2019-05-03,Call center 3,0.0
2019-05-03,Call center 1,3697.0
2019-05-03,Call center 2,19677.0
2019-05-04,Call center 3,0.0
2019-05-04,Call center 1,12863.0
2019-05-04,Call center 2,30.0
2019-05-05,Call center 1,37.0
2019-05-06,Call center 2,23703.0
2019-05-06,Call center 1,4706.0
2019-05-07,Call center 1,1447.0
2019-05-07,Call center 2,20774.0
2019-05-08,Call center 2,46.0
2019-05-09,Call center 3,1.0
2019-05-09,Call center 1,4899.0
2019-05-09,Call center 2,24315.0
2019-05-10,Call center 1,3678.0
2019-05-10,Call center 2,19457.0
2019-05-11,Call center 3,0.0
2019-05-11,Call center 1,12863.0
2019-05-11,Call center 2,39.0
2019-05-12,Call center 1,25.0
2019-05-13,Call center 2,22402.0
2019-05-13,Call center 1,4476.0
2019-05-14,Call center 1,1341.0
2019-05-14,Call center 2,20846.0
2019-05-14,Call center 3,0.0
2019-05-15,Call center 1,3945.0
2019-05-15,Call center 2,20141.0
2019-05-16,Call center 3,0.0
2019-05-16,Call center 1,3223.0
2019-05-16,Call center 2,17466.0
2019-05-17,Call center 1,89.0
2019-05-17,Call center 2,21493.0
2019-05-18,Call center 3,0.0
2019-05-18,Call center 1,12789.0
2019-05-18,Call center 2,39.0
2019-05-19,Call center 1,23.0
2019-05-20,Call center 3,0.0
2019-05-20,Call center 1,4518.0
